2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
52100,Corrigin (S),1067,983.9251843,384,7,68,WA,81,6,58,861.7831785,1111.065959,0
52170,Cottesloe (T),7598,1193.442954,561,10,100,WA,138,10,99,1148.169574,1223.807543,0
52240,Cranbrook (S),1079.000997,1001.7156,432,8,77,WA,99,8,71,895.0320215,1099.824441,0
52310,Cuballing (S),866,982.2757137,379,7,68,WA,78,6,56,903.5146669,1058.447522,0
52380,Cue (S),269,905.1321025,65,2,12,WA,9,1,7,863.3584689,1124.686549,0
52450,Cunderdin (S),1305,963.5593985,308,6,55,WA,60,5,43,918.2868015,1058.235569,0
52520,Dalwallinu (S),1265,1000.270402,428,8,76,WA,98,8,71,864.9281654,1065.905953,0
52590,Dandaragan (S),3191,955.1242774,274,5,49,WA,50,4,36,862.5860477,1081.110395,0
52660,Dardanup (S),12397.01097,918.6947306,107,2,19,WA,15,2,11,787.0216998,1081.477195,0
52730,Denmark (S),5197,1032.087974,471,9,84,WA,114,9,82,936.394272,1082.690312,0
52800,Derby-West Kimberley (S),8455.273063,916.3517982,101,2,18,WA,14,2,11,689.6363134,1071.331049,0.196445459
52870,Donnybrook-Balingup (S),5317,963.015004,306,6,55,WA,59,5,43,853.2174763,1060.127843,0
52940,Dowerin (S),679,992.9006387,405,8,72,WA,86,7,62,931.2492988,1068.050801,0
53010,Dumbleyung (S),607,1064.528639,497,9,88,WA,124,9,89,972.3604755,1109.82012,0
53080,Dundas (S),1145,904.1568119,59,2,11,WA,7,1,6,836.9105108,970.157471,0
53150,East Fremantle (T),6925,1145.093567,541,10,96,WA,132,10,95,1097.724112,1197.937623,0
53220,East Pilbara (S),11940,932.2621309,171,4,31,WA,26,2,19,687.1357057,1013.240345,0.408626466
53290,Esperance (S),13449,949.0295228,244,5,44,WA,41,3,30,781.1085401,1120.469915,0.000223065
53360,Exmouth (S),2386.003078,966.8994382,321,6,57,WA,64,5.00E+00,46,8.71E+02,1059.237316,1.29002E-06
53430,Fremantle (C),26562,1082.879452,509,10,91,WA,126,10,91,920.8477429,1199.396167,0.000112943
53520,Geraldton-Greenough (C),36451.39615,931.2304311,166,3,30,WA,23,2,17,742.7001569,1066.267977,0.000329206
53570,Gingin (S),4678,940.5169817,210,4,38,WA,33,3,24,862.0280764,1026.640318,0
53640,Gnowangerup (S),1274,1009.923713,453,9,81,WA,108,8,78,925.4752522,1137.216337,0
53710,Goomalling (S),985,977.9412895,364,7,65,WA,74,6,53,918.2257549,1046.373471,0
53780,Gosnells (C),106582,952.3259079,261,5,47,WA,44,4,32,842.5660535,1113.394362,0.007280779
53920,Halls Creek (S),3562.849017,889.8222587,39,1,7,WA,6,1,5,691.0761917,1073.516615,0
53990,Harvey (S),23228.99202,932.0384198,170,4,31,WA,25,2,18,762.0309444,1052.075541,0
54060,Irwin (S),3568,934.8523677,184,4,33,WA,27,2,20,894.4930815,1036.282113,0
54130,Jerramungup (S),1062.976943,1025.923295,466,9,83,WA,111,8,80,916.0871414,1118.398112,0.003749798
54170,Joondalup (C),152389.001,1048.161771,484,9,86,WA,119,9,86,912.829469,1171.819215,0.000118119
54200,Kalamunda (S),53540.27394,993.6337488,410,8,73,WA,89,7,64,858.297182,1140.34519,0.000416022
54280,Kalgoorlie/Boulder (C),31097.61181,940.8882279,211,4,38,WA,34,3,25,782.75853,1163.066881,0
54340,Katanning (S),4183,910.689794,82,2,15,WA,11,1,8,806.3448184,1081.853507,0
54410,Kellerberrin (S),1175.999941,920.4237254,115,3,21,WA,16,2,12,868.0880211,1045.75187,0
54480,Kent (S),516,1100.236296,518,10,92,WA,127,10,91,1072.26206,1132.658318,0
54550,Kojonup (S),1974,1002.632913,433,8,77,WA,100,8,72,889.7749751,1161.489598,0
54620,Kondinin (S),1041,1009.351141,449,8,80,WA,105,8,76,919.4673625,1104.928844,0
54690,Koorda (S),434,970.6092818,338,6,60,WA,68,5,49,904.6572033,1080.25967,0
54760,Kulin (S),832,1054.275762,491,9,87,WA,121,9,87,952.5433305,1122.436717,0
54830,Kwinana (T),29234,904.7572354,62,2,11,WA,8,1,6,805.4389639,1036.492788,0.020626668
54900,Lake Grace (S),1368,1031.179986,470,9,84,WA,113,9,81,896.0177744,1106.97425,0
54970,Laverton (S),1227.674186,911.3183548,85,2,16,WA,12,1,9,811.6204853,961.9972387,0.417863311
55040,Leonora (S),2506,947.7441914,240,5,43,WA,40,3,29,872.3443086,976.9899524,0.40622506
55110,Mandurah (C),69960.00598,926.6592636,139,3,25,WA,20,2,15,767.8895266,1078.130488,0.000100057
55180,Manjimup (S),9193,931.3851188,168,3,30,WA,24,2,18,816.1855735,1105.290351,0
55250,Meekatharra (S),1374,936.0321371,190,4,34,WA,29,3,21,844.5773712,1121.120211,0
55320,Melville (C),95688.001,1102.022827,520,10,93,WA,128,1.00E+01,92,9.23E+02,1203.28316,1.04402E-08
55390,Menzies (S),383,828.8984719,10,1,2,WA,1,1,1,824.0975344,834.4276415,0
55460,Merredin (S),3275,952.6752239,263,5,47,WA,45,4,33,891.5769183,1036.35583,0
55530,Mingenew (S),479,975.5278302,356,7,64,WA,72,6,52,872.3602094,1111.091081,0
55600,Moora (S),2478,952.9583144,264,5,47,WA,46,4,33,878.4490721,1093.103626,0
55670,Morawa (S),892,961.393842,295,6,53,WA,55,4,40,828.7056564,1095.634881,0
55740,Mosman Park (T),8599,1144.764534,540,10,96,WA,131,10,94,1075.288462,1196.253149,0
55810,Mount Magnet (S),643,923.5579751,132,3,24,WA,18,2,13,914.9212408,964.0665517,0
55880,Mount Marshall (S),478,1052.550995,490,9,87,WA,120,9,86,1043.444757,1066.973308,0
55950,Mukinbudin (S),497,1003.714676,435,8,77,WA,101,8,73,921.3397503,1081.890096,0
56020,Mullewa (S),715,985.9455422,388,7,69,WA,82,6,59,941.1359922,1099.915392,0
56090,Mundaring (S),36506.12281,1009.622035,452,9,81,WA,107,8,77,850.0744753,1143.87734,0.040287159
56160,Murchison (S),115,996.4035851,420,8,75,WA,94,7,68,996.4035851,996.4035851,0
56230,Murray (S),14143.68742,909.3029141,79,2,14,WA,10,1,8,789.3411047,1024.075618,0.00049492
56300,Nannup (S),1267.998997,993.5067789,409,8,73,WA,88,7,63,943.459263,1041.636084,0
56370,Narembeen (S),815,986.3375335,391,7,70,WA,84,7,61,908.8353638,1089.512279,0
56450,Narrogin (S),874,1035.291818,476,9,85,WA,116,9,83,1011.351251,1081.324522,0
56520,Narrogin (T),4226,938.573105,196,4,35,WA,32,3,23,858.9212299,988.635081,0
56580,Nedlands (C),20513.71118,1188.099153,559,10,99,WA,137,10,98,1061.649648,1244.00274,0.006873452
56620,Ngaanyatjarraku (S),1438.325814,867.7839288,24,1,5,WA,4,1,3,853.2559176,901.1927318,0
56730,Northam (S),10569,912.4242994,89,2,16,WA,13,1,10,736.6050974,1021.158812,0
56790,Northampton (S),3188,947.4412924,237,5,42,WA,39,3,28,845.4502236,1170.627103,0
56860,Nungarin (S),231,1011.606671,456,9,81,WA,109,8,78,1011.606671,1011.606671,0
56930,Peppermint Grove (S),1523,1195.693382,563,10,100,WA,139,10,100,1170.54732,1206.939727,0
57000,Perenjori (S),906,964.9107197,313,6,56,WA,62,5,45,910.4309348,978.9846641,0
57080,Perth (C),16735,1155.001617,543,10,97,WA,133,10,96,993.5261575,1214.436697,0.026232447
57140,Pingelly (S),1170,928.9459514,154,3,28,WA,22,2,16,861.0337137,1077.702945,0
57210,Plantagenet (S),4883,954.5909483,273,5,49,WA,49,4,36,854.4845592,1106.95758,0
57280,Port Hedland (T),15052.00206,967.6414993,326,6,58,WA,65,5,47,837.4780267,1086.380644,0.02610962
57350,Quairading (S),1042,944.9267943,230,5,41,WA,37,3,27,849.4667843,1045.815658,0
57420,Ravensthorpe (S),2123.014051,983.4651774,382,7,68,WA,79,6,57,883.9321958,1027.647168,0.001890732
57490,Rockingham (C),104075.998,945.4224119,232,5,42,WA,38,3,28,769.6625081,1101.965146,0.005034763
57560,Roebourne (S),22927.03691,978.4416887,368,7,66,WA,75,6,54,755.1204398,1077.896794,0.157632097
57630,Sandstone (S),105,964.9848401,314,6,56,WA,63,5,46,964.9848401,964.9848401,0
57700,Serpentine-Jarrahdale (S),17736.30661,954.0145342,269,5,48,WA,48,4,35,888.414714,1048.570445,0.013362421
57770,Shark Bay (S),861.0049232,938.3675809,195,4,35,WA,31,3,23,875.8504328,1051.258389,0
57840,South Perth (C),40760.9983,1128.998745,534,10,95,WA,130,10,93,866.796607,1201.217484,0.004710385
57910,Stirling (C),195643.999,1055.526389,493,9,88,WA,122,9,88,8.00E+02,1209.854737,0.001717405
57980,Subiaco (C),17565.43379,1185.828264,558,10,99,WA,136,10,98,1104.197492,1252.721884,0.030685266
58050,Swan (C),108434.6121,958.6874792,288,6,51,WA,53,4,38,820.7034717,1125.614433,0.000479621
58190,Tammin (S),403.000059,994.5806591,413,8,74,WA,91,7,66,826.6691634,1109.686108,0
58260,Three Springs (S),622,980.9926977,374,7,67,WA,76,6,55,889.2949292,1138.360484,0
58330,Toodyay (S),4385,962.6329988,304,6,54,WA,58,5,42,911.220203,1016.874814,0
58400,Trayning (S),347,1008.279116,446,8,79,WA,104,8,75,1008.279116,1008.279116,0
58470,Upper Gascoyne (S),243,922.7803347,123,3,22,WA,17,2,13,888.3389222,954.7616464,0
58510,Victoria Park (T),32437.95179,1082.114066,508,9,90,WA,125,9,90,942.8784399,1182.805913,0.014857599
58540,Victoria Plains (S),900,996.1449531,419,8,75,WA,93,7,67,954.228275,1037.668877,0
58570,Vincent (T),31562,1127.981694,533,10,95,WA,129,10,93,1041.189765,1186.198391,0
58610,Wagin (S),1846.001001,928.0518504,149,3,27,WA,21,2,16,834.9065866,1102.764213,0
58680,Wandering (S),438,996.5783025,421,8,75,WA,95,7,68,996.5783025,996.5783025,0
58760,Wanneroo (C),152140.0006,974.1442372,349,7,62,WA,71,6,51,826.2714831,1098.454152,0.000216906
58820,Waroona (S),3583,883.7574164,33,1,6,WA,5,1,4,816.7009606,955.3113505,0
58890,West Arthur (S),874,1057.669607,495,9,88,WA,123,9,88,953.798999,1097.421053,0
59030,Westonia (S),276,994.3973215,412,8,73,WA,90,7,65,994.3973215,994.3973215,0
59100,Wickepin (S),748,1032.714822,473,9,84,WA,115,9,83,943.2415519,1139.645665,0
59170,Williams (S),912,1006.208445,442,8,79,WA,103,8,74,929.3740052,1058.184683,0
59250,Wiluna (S),1154,952.9759741,265,5,47,WA,47,4,34,952.9759741,952.9759741,0.748700173
59310,Wongan-Ballidu (S),1434,976.7270795,361,7,64,WA,73,6,53,913.7254022,1095.773818,0
