2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
25490,Moyne (S),15953.35739,1004.92544,420,8,75,VIC,55,7,NA,677.2420639,1094.995126,0
25620,Murrindindi (S),13054.33542,982.2513958,351,7,63,VIC,41,6,NA,881.909891,1078.596073,0.000229764
25710,Nillumbik (S),60355.00099,1099.034388,543,10,97,VIC,78,10,NA,988.3191986,1174.752578,0
25810,Northern Grampians (S),11851.73649,925.605275,124,3,22,VIC,5,1,NA,817.3213136,1092.86948,0
25900,Port Phillip (C),91368.00078,1076.771927,526,10,94,VIC,75,10,NA,675.6509778,1170.828586,3.28427E-05
25990,Pyrenees (S),6662.436166,929.7826102,135,3,24,VIC,8,1,NA,829.6295706,1052.729421,0.001500953
26080,Queenscliffe (B),2995.396593,1047.249008,500,9,89,VIC,69,9,NA,998.4174217,1094.355043,0
26170,South Gippsland (S),27211.6601,980.5108479,348,7,62,VIC,40,5,NA,820.5860966,1076.776952,0.00044031
26260,Southern Grampians (S),16339.74029,977.5985722,334,6,60,VIC,37,5,NA,803.1976473,1101.643747,0
26350,Stonnington (C),93174,1097.820209,542,10,96,VIC,77,10,NA,639.5579393,1190.013013,0
26430,Strathbogie (S),9503.954335,956.3603252,246,5,44,VIC,23,3,NA,833.8860134,1064.191111,0
26490,Surf Coast (S),25885.00241,1059.779245,515,10,92,VIC,73,10,NA,901.3310656,1153.572319,0
26610,Swan Hill (RC),20474.23713,939.411019,181,4,33,VIC,12,2,NA,736.390761,1058.691086,0
26670,Towong (S),5895.815805,982.46653,353,7,63,VIC,42,6,NA,892.5517383,1080.612762,0
26700,Wangaratta (RC),26827,965.1089615,277,5,50,VIC,27,4,NA,737.6009972,1117.79201,0
26730,Warrnambool (C),32029.9581,969.7963468,300,6,54,VIC,31,4,NA,622.9294894,1101.532724,0.000312208
26810,Wellington (S),41466.27897,960.8492374,257,5,46,VIC,25,4,NA,755.8877314,1103.631376,0.021491089
26890,West Wimmera (S),4250.049325,977.0967361,333,6,59,VIC,36,5,NA,882.5654822,1076.966913,0
26980,Whitehorse (C),151335.001,1057.21015,513,10,91,VIC,72,9,NA,772.5477902,1166.629679,0.003442693
27070,Whittlesea (C),154849,983.3597673,357,7,64,VIC,44,6,NA,816.2177906,1142.15989,0.000419764
27170,Wodonga (RC),35488,962.9392107,270,5,48,VIC,26,4,NA,613.8324867,1134.708112,0.014399234
27260,Wyndham (C),161530.0404,1007.186975,425,8,76,VIC,56,7,NA,684.9833381,1171.487297,0.005132172
27350,Yarra (C),74048,1041.944463,490,9,87,VIC,66,9,NA,531.4274884,1159.917801,0.000108038
27450,Yarra Ranges (S),144540.1155,1022.039661,456,9,81,VIC,61,8,NA,826.2997852,1160.77953,0.000878649
27630,Yarriambiack (S),7098.50638,942.5386588,194,4,35,VIC,16,2,NA,850.9337547,1092.86948,0
